id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,level,dormitory_type,condition_type,data_age,road,house_number,neighbourhood,address,%_above_median,price+renovation,renovation_cost,price_sales
7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,47.5112,-122257.0,nivel_0,apart_or_house,regular,old_house, 61st Avenue South,10012,Rainier Beach,"10012, 61st Avenue South, Rainier Beach, Seattle, King County, Washington, 98178, United States",0.0,248528.00000000003,26628.00000000003,285807.2
5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,47.7379,-122233.0,nivel_0,apart_or_house,regular,old_house, 81st Avenue Northeast,15109,Moorlands,"15109, 81st Avenue Northeast, Moorlands, Kenmore, King County, Washington, 98028, United States",0.0,201600.00000000003,21600.00000000003,231840.00000000003
1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,47.3097,-122327.0,nivel_0,apart_or_house,regular,old_house, South 330th Place,533,Federal Way,"533, South 330th Place, Federal Way, King County, Washington, 98003, United States",0.0,288400.0,30900.0,331660.0
2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,47.4095,-122315.0,nivel_0,apart_or_house,regular,old_house, 14th Avenue South,21421,Des Moines Creek,"21421, 14th Avenue South, Des Moines Creek, Des Moines, King County, Washington, 98198, United States",0.0,326872.00000000006,35022.00000000006,375902.80000000005
2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,47.5123,-122337.0,nivel_0,apart_or_house,regular,old_house, Southwest 102nd Street,216,White Center,"216, Southwest 102nd Street, White Center, Seattle, King County, Washington, 98146, United States",0.0,257040.00000000003,27540.00000000003,295596.0
3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,47.3684,-122031.0,nivel_1,apart_or_house,regular,old_house, 232nd Place Southeast,26007,Katesridge,"26007, 232nd Place Southeast, Katesridge, Danville, Maple Valley, King County, Washington, 98038, United States",0.0,361760.00000000006,38760.00000000006,416024.00000000006
114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,47.7558,-122229.0,nivel_0,apart_or_house,regular,old_house, NE 176th Court,8308,Kenmore,"8308, NE 176th Court, Kenmore, King County, Washington, 98028, United States",0.0,347200.00000000006,37200.00000000006,399280.00000000006
6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,47.6127,-122045.0,nivel_1,apart_or_house,regular,old_house, Northeast 3rd Place,22144,Sammamish,"22144, Northeast 3rd Place, Sammamish, King County, Washington, 98074, United States",0.0,448000.00000000006,48000.00000000006,515200.0
1875500060,2014-07-31,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,47.7277,-121962.0,nivel_1,apart_or_house,regular,old_house, Northeast 141st Place,28272,Cutter's Glen,"28272, Northeast 141st Place, Cutter's Glen, Duvall, King County, Washington, 98019, United States",0.0,442400.00000000006,47400.00000000006,508760.0
16000397,2014-12-05,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,47.3089,-122.21,nivel_0,apart_or_house,regular,old_house, Pike Street Northeast,19,Rivers Bend,"19, Pike Street Northeast, Rivers Bend, Auburn, King County, Washington, 98002, United States",0.0,211680.00000000003,22680.00000000003,243432.00000000003
7983200060,2015-04-24,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,47.3343,-122306.0,nivel_0,apart_or_house,regular,old_house, 21st Avenue South,29826,Federal Way,"29826, 21st Avenue South, Federal Way, King County, Washington, 98003, United States",0.0,257600.00000000003,27600.00000000003,296240.0
6300500875,2014-05-14,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,47.7025,-122341.0,nivel_1,house,regular,old_house, Interlake Avenue North,10033,Licton Springs,"10033, Interlake Avenue North, Licton Springs, Greenwood, Seattle, King County, Washington, 98133, United States",0.0,431200.00000000006,46200.00000000006,495880.0
7137970340,2014-07-03,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,47.3266,-122169.0,nivel_0,house,regular,old_house, Southeast 307th Place,12840,Lea Hill,"12840, Southeast 307th Place, Lea Hill, Auburn, King County, Washington, 98092, United States",0.0,319200.00000000006,34200.00000000006,367080.00000000006
8091400200,2014-05-16,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,47.3533,-122166.0,nivel_0,apart_or_house,regular,old_house, Southeast 277th Place,13105,Washington,"13105, Southeast 277th Place, Kent, King County, Washington, 98030, United States",0.0,283024.0,30324.0,325477.6
3814700200,2014-11-20,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,47.3739,-122172.0,nivel_1,apart_or_house,regular,old_house, Southeast 254th Court,12715,White Horse Crossing,"12715, Southeast 254th Court, White Horse Crossing, Kent, King County, Washington, 98030, United States",0.0,368480.00000000006,39480.00000000006,423752.00000000006
1202000200,2014-11-03,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,47.3048,-122218.0,nivel_0,apart_or_house,good,old_house, I Street Southeast,316,Downtown,"316, I Street Southeast, Downtown, Auburn, King County, Washington, 98002, United States",0.0,233000.0,0.0,279600.0
5101402488,2014-06-24,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,47695.0,-122304.0,nivel_1,apart_or_house,regular,old_house, Northeast 91st Street,2302,Wedgwood,"2302, Northeast 91st Street, Wedgwood, Seattle, King County, Washington, 98115, United States",0.0,490560.00000000006,52560.00000000006,564144.0
2426039314,2014-12-01,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,47.7274,-122357.0,nivel_0,apart_or_house,regular,old_house, Greenwood Avenue North,13435,Broadview,"13435, Greenwood Avenue North, Broadview, Seattle, King County, Washington, 98133, United States",0.0,313600.00000000006,33600.00000000006,360640.00000000006
7955080270,2014-12-03,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,0,47.4276,-122157.0,nivel_1,house,regular,old_house, 138th Avenue Southeast,19504,Rock Creek,"19504, 138th Avenue Southeast, Rock Creek, Renton, King County, Washington, 98058, United States",0.0,361200.00000000006,38700.00000000006,415380.00000000006
7895500070,2015-02-13,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,0,47.3341,-122282.0,nivel_0,house,bad,old_house, 42nd Avenue South,29840,Auburn,"29840, 42nd Avenue South, Auburn, King County, Washington, 98001, United States",0.0,288000.0,48000.0,316800.0
1432701230,2014-07-29,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,47.4485,-122175.0,nivel_0,apart_or_house,regular,old_house, Southeast 172nd Street,12505,Renton,"12505, Southeast 172nd Street, Renton, King County, Washington, 98058, United States",0.0,346080.00000000006,37080.00000000006,397992.00000000006
8945200830,2015-03-25,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0,47.3066,-122371.0,nivel_0,apart_or_house,regular,old_house, Southwest 330th Street,2902,Twin Lakes,"2902, Southwest 330th Street, Twin Lakes, Federal Way, King County, Washington, 98023, United States",0.0,235748.80000000002,25258.800000000017,271111.12
9215400105,2015-04-28,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,47.6796,-122301.0,nivel_2,apart_or_house,regular,old_house, 25th Avenue Northeast,7001,Ravenna,"7001, 25th Avenue Northeast, Ravenna, Seattle, King County, Washington, 98115, United States",0.0,504000.00000000006,54000.00000000006,579600.0
5245600105,2014-09-16,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,47.4258,-122322.0,nivel_0,apart_or_house,regular,old_house, 10th Avenue South,19626,North Hill,"19626, 10th Avenue South, North Hill, Des Moines, King County, Washington, 98148, United States",0.0,255360.00000000003,27360.00000000003,293664.0
7231300125,2015-02-17,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,47.4934,-122189.0,nivel_1,house,regular,old_house, Blaine Avenue Northeast,663,Highlands Park,"663, Blaine Avenue Northeast, Highlands Park, Renton, King County, Washington, 98056, United States",0.0,386400.00000000006,41400.00000000006,444360.00000000006
9478500640,2014-08-19,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,0,47.3663,-122114.0,nivel_0,house,regular,old_house, Southeast 263rd Street,17025,Covington,"17025, Southeast 263rd Street, Covington, King County, Washington, 98042, United States",0.0,327600.00000000006,35100.00000000006,376740.00000000006
2799800710,2015-04-07,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,0,47.3663,-122122.0,nivel_0,apart_or_house,regular,old_house, Southeast 263rd Street,16426,Stonefield,"16426, Southeast 263rd Street, Stonefield, Covington, King County, Washington, 98042, United States",0.0,337120.00000000006,36120.00000000006,387688.00000000006
8079040320,2015-02-23,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,0,47.5059,-122149.0,nivel_1,house,regular,old_house, Ilwaco Avenue Northeast,1520,Summerwind,"1520, Ilwaco Avenue Northeast, Summerwind, Renton, King County, Washington, 98059, United States",0.0,481600.00000000006,51600.00000000006,553840.0
9558200045,2014-08-28,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,0,47.4366,-122335.0,nivel_0,apart_or_house,regular,old_house, Ave S,1,Normandy Park,"1st Ave S & S 186th St, 1st Avenue South, Normandy Park, King County, Washington, 98148, United States",0.0,323680.00000000006,34680.00000000006,372232.00000000006
1189001180,2014-06-03,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,0,47.6113,-122297.0,nivel_1,apart_or_house,regular,old_house, 27th Avenue,942,Madrona,"942, 27th Avenue, Madrona, Seattle, King County, Washington, 98122, United States",0.0,476000.00000000006,51000.00000000006,547400.0
3253500160,2014-11-20,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,47.5747,-122304.0,nivel_0,apart_or_house,good,old_house, 22nd Avenue South,3214,Beacon Hill,"3214, 22nd Avenue South, Beacon Hill, Seattle, King County, Washington, 98144, United States",0.0,317625.0,0.0,381150.0
3717000160,2014-10-09,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,0,47.3378,-122257.0,nivel_0,house,regular,old_house, South 295th Court,6110,Auburn,"6110, South 295th Court, Auburn, King County, Washington, 98001, United States",0.0,321440.00000000006,34440.00000000006,369656.00000000006
1274500060,2014-08-25,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,0,47.3621,-122.11,nivel_0,apart_or_house,regular,old_house, Southeast 267th Place,17235,Covington,"17235, Southeast 267th Place, Covington, King County, Washington, 98042, United States",0.0,228480.00000000003,24480.00000000003,262752.0
1049000060,2015-01-05,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,0,47.7362,-122179.0,nivel_1,apart_or_house,regular,old_house, Northeast 149th Place,12206,Kirkland,"12206, Northeast 149th Place, Kirkland, King County, Washington, 98034, United States",0.0,364000.00000000006,39000.00000000006,418600.00000000006
5416510140,2014-07-10,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,0,47.3608,-122036.0,nivel_1,house,regular,old_house, Southeast 269th Street,22840,Rock Creek Meadows,"22840, Southeast 269th Street, Rock Creek Meadows, Danville, Maple Valley, King County, Washington, 98038, United States",0.0,403200.00000000006,43200.00000000006,463680.00000000006
3444100400,2015-03-16,349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,0,47.3511,-122073.0,nivel_1,apart_or_house,good,old_house, 201st Avenue Southeast,27710,Winterwood Estates,"27710, 201st Avenue Southeast, Winterwood Estates, Kent, King County, Washington, 98042, United States",0.0,349000.0,0.0,418800.0
4036801170,2014-10-13,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,0,47.6034,-122125.0,nivel_1,house,regular,old_house, Southeast 7th Street,16111,Bellevue,"16111, Southeast 7th Street, Bellevue, King County, Washington, 98008, United States",0.0,425600.00000000006,45600.00000000006,489440.00000000006
6300000287,2014-06-09,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0,47.7073,-122.34,nivel_1,apart_or_house,regular,old_house, Interlake Avenue North,10710,Haller Lake,"10710, Interlake Avenue North, Haller Lake, Seattle, King County, Washington, 98133, United States",0.0,459200.00000000006,49200.00000000006,528080.0
5104520400,2014-12-02,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,0,47.3512,-122008.0,nivel_1,apart_or_house,regular,old_house, Maple Ridge Way,27989,Maple Valley,"27989, Maple Ridge Way Southeast, Maple Woods, Maple Valley, King County, Washington, 98038, United States",0.0,436800.00000000006,46800.00000000006,502320.0
7437100340,2014-12-22,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0,47349.0,-122031.0,nivel_1,house,regular,old_house, 233rd Avenue Southeast,28155,Rosewood Parke,"28155, 233rd Avenue Southeast, Rosewood Parke, Maple Valley, King County, Washington, 98038, United States",0.0,403200.00000000006,43200.00000000006,463680.00000000006
9418400240,2014-10-28,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,47.5474,-122291.0,nivel_1,apart_or_house,regular,old_house, 32nd Avenue South,6018,Holly Park,"6018, 32nd Avenue South, Holly Park, Rainier Valley, Seattle, King County, Washington, 98118, United States",0.0,397600.00000000006,42600.00000000006,457240.00000000006
1523059105,2015-01-28,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,0,47.4811,-122149.0,nivel_1,apart_or_house,regular,old_house, 143rd Avenue Southeast,14241,Renton,"14241, 143rd Avenue Southeast, Renton, King County, Washington, 98059, United States",0.0,398720.00000000006,42720.00000000006,458528.00000000006
1133000671,2014-06-02,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0,47.7264,-122.31,nivel_0,apart_or_house,regular,old_house, Northeast 135th Street,1715,Kenwood,"1715, Northeast 135th Street, Kenwood, Lake City, Seattle, King County, Washington, 98165, United States",0.0,352800.00000000006,37800.00000000006,405720.00000000006
2599001200,2014-11-03,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,47.2909,-122189.0,nivel_0,house,good,old_house, Fir Street Southeast,2020,Forrest Villa,"2020, Fir Street Southeast, Forrest Villa, Auburn, King County, Washington, 98092, United States",0.0,305000.0,0.0,366000.0
1332700270,2014-05-19,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,0,47518.0,-122194.0,nivel_0,apart_or_house,regular,old_house, Kennewick Place Northeast,2906,Kennydale,"2906, Kennewick Place Northeast, Kennydale, Renton, King County, Washington, 98056, United States",0.0,240800.00000000003,25800.00000000003,276920.0
3869900162,2014-09-04,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,0,47.5394,-122387.0,nivel_1,apart_or_house,regular,old_house, California Avenue Southwest,7106,Morgan Junction,"7106, California Avenue Southwest, Morgan Junction, Seattle, King County, Washington, 98136, United States",0.0,375200.00000000006,40200.00000000006,431480.00000000006
2791500270,2014-05-22,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,0,47.2897,-122372.0,nivel_0,house,regular,old_house, Southwest 349th Place,3002,Federal Way,"3002, Southwest 349th Place, Federal Way, King County, Washington, 98023, United States",0.0,272720.0,29220.0,313628.0
4168000060,2015-02-26,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,0,47322.0,-122351.0,nivel_0,apart_or_house,regular,old_house, 12th Avenue Southwest,31218,Federal Way,"31218, 12th Avenue Southwest, Federal Way, King County, Washington, 98023, United States",0.0,171360.00000000003,18360.00000000003,197064.00000000003
6021501535,2014-07-25,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,47687.0,-122386.0,nivel_1,apart_or_house,regular,old_house, Jones Avenue Northwest,8002,Loyal Heights,"8002, Jones Avenue Northwest, Loyal Heights, Ballard, Seattle, King County, Washington, 98117, United States",0.0,481600.00000000006,51600.00000000006,553840.0
3422049190,2015-03-30,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,0,47.3576,-122277.0,nivel_0,apart_or_house,regular,old_house, South 272nd Street,4419,Cambridge East,"4419, South 272nd Street, Cambridge East, Auburn, King County, Washington, 98032, United States",0.0,277200.0,29700.0,318780.0
1099611230,2014-09-12,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,0,47.3036,-122378.0,nivel_0,house,regular,old_house, 36th Avenue Southwest,33209,Federal Way,"33209, 36th Avenue Southwest, Federal Way, King County, Washington, 98023, United States",0.0,222880.00000000003,23880.00000000003,256312.0
722079104,2014-07-11,314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,0,47.4109,-121958.0,nivel_0,apart_or_house,good,old_house, 290th Avenue Southeast,21315,Maple Valley,"21315, 290th Avenue Southeast, Maple Valley, King County, Washington, 98038, United States",0.0,314000.0,0.0,376800.0
7338200240,2014-05-16,437500.0,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,1992,0,47.4838,-121714.0,nivel_1,apart_or_house,regular,old_house, 470th Avenue Southeast,12711,Riverpoint,"12711, 470th Avenue Southeast, Riverpoint, Tanner, North Bend, King County, Washington, 98045, United States",0.0,490000.00000000006,52500.00000000006,563500.0
6197800045,2014-09-24,290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1954,0,47.4375,-122184.0,nivel_0,apart_or_house,regular,old_house, 118th Avenue Southeast,18415,Benson Hill,"18415, 118th Avenue Southeast, Benson Hill, Renton, King County, Washington, 98058, United States",0.0,324800.00000000006,34800.00000000006,373520.00000000006
1328310370,2015-04-02,375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,1978,0,47.4431,-122133.0,nivel_1,apart_or_house,regular,old_house, Southeast 177th Place,15616,Candlewood,"15616, Southeast 177th Place, Candlewood, Fairwood, Renton, King County, Washington, 98058, United States",0.0,420000.00000000006,45000.00000000006,483000.00000000006
3530510041,2014-07-23,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,0,47.3813,-122322.0,nivel_0,apart_or_house,regular,old_house, 9th Place South,24521,Zenith,"24521, 9th Place South, Zenith, Des Moines, King County, Washington, 98198, United States",0.0,211120.00000000003,22620.00000000003,242788.00000000003
2525310310,2014-09-16,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1980,0,47.3624,-122031.0,nivel_0,apart_or_house,regular,old_house, 233rd Court Southeast,26707,Fernwood Estates,"26707, 233rd Court Southeast, Fernwood Estates, Danville, Maple Valley, King County, Washington, 98038, United States",0.0,305200.0,32700.0,350980.0
6126500060,2014-11-24,329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,1971,0,47.5474,-122295.0,nivel_1,apart_or_house,regular,old_house, Sealth Trail,98108,Rainier Valley,"Chief Sealth Trail, Holly Park, Rainier Valley, Seattle, King County, Washington, 98108, United States",0.0,369544.00000000006,39594.00000000006,424975.60000000003
4060000240,2014-06-23,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,47.5009,-122248.0,nivel_0,apart_or_house,regular,old_house, 69th Place South,11440,Seattle,"11440, 69th Place South, Seattle, King County, Washington, 98178, United States",0.0,230076.00000000003,24651.00000000003,264587.4
3454800060,2015-01-08,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1950,0,47.4965,-122303.0,nivel_0,house,regular,old_house, Military Road South,11834,Boulevard Park,"11834, Military Road South, Boulevard Park, Burien, King County, Washington, 98168, United States",0.0,192416.00000000003,20616.00000000003,221278.40000000002
6675500070,2014-11-19,391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,1987,0,47.7288,-122226.0,nivel_1,apart_or_house,regular,old_house, Northeast 142nd Street,8621,Simonds Estates,"8621, Northeast 142nd Street, Simonds Estates, Inglewood, Kirkland, King County, Washington, 98034, United States",0.0,438480.00000000006,46980.00000000006,504252.0
3626039187,2015-04-06,395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,0,1953,0,47.6999,-122364.0,nivel_1,apart_or_house,regular,old_house, Northwest 97th Street,612,Crown Hill,"612, Northwest 97th Street, Crown Hill, Greenwood, Seattle, King County, Washington, 98117, United States",0.0,442400.00000000006,47400.00000000006,508760.0
3524049083,2014-11-04,445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,47.5299,-122266.0,nivel_1,house,good,old_house, Seward Park Avenue,7958,Seattle,"7958, Seward Park Avenue South, Dunlap, Seattle, King County, Washington, 98118, United States",0.0,445000.0,0.0,534000.0
4058801670,2014-07-17,445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,1967,0,47.5091,-122244.0,nivel_1,apart_or_house,regular,old_house, South Rustic Road,7218,Lakeridge,"7218, South Rustic Road, Lakeridge, Seattle, King County, Washington, 98178, United States",0.0,498400.00000000006,53400.00000000006,573160.0
8732020310,2014-07-17,260000.0,4,2.25,2160,8811,1.0,0,0,3,8,1360,800,1978,0,47.3129,-122.39,nivel_0,house,regular,old_house, 44th Place Southwest,32219,Twin Lakes,"32219, 44th Place Southwest, Twin Lakes, Federal Way, King County, Washington, 98023, United States",0.0,291200.0,31200.0,334880.0
7853210060,2015-04-06,430000.0,4,2.5,2070,4310,2.0,0,0,3,7,2070,0,2004,0,47.5319,-121.85,nivel_1,house,regular,old_house, Southeast Gravenstein Court,36702,Eagle Nest,"36702, Southeast Gravenstein Court, Eagle Nest, Snoqualmie, King County, Washington, 98065, United States",0.0,481600.00000000006,51600.00000000006,553840.0
3668000070,2015-01-05,212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,0,47.2761,-122152.0,nivel_0,apart_or_house,regular,old_house, 37th Street Southeast,5805,Muckleshoot,"5805, 37th Street Southeast, Muckleshoot, Auburn, King County, Washington, 98092, United States",0.0,237440.00000000003,25440.00000000003,273056.0
921049315,2014-08-13,199000.0,3,1.75,1320,17390,1.0,0,0,4,7,1320,0,1956,0,47.3257,-122296.0,nivel_0,apart_or_house,regular,old_house, South 308th Lane,2833,Federal Way,"2833, South 308th Lane, Federal Way, King County, Washington, 98003, United States",0.0,222880.00000000003,23880.00000000003,256312.0
3655000070,2014-08-05,220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1968,0,47.3309,-122299.0,nivel_0,house,regular,old_house, 26th Place South,30204,Federal Way,"30204, 26th Place South, Federal Way, King County, Washington, 98003, United States",0.0,246400.00000000003,26400.00000000003,283360.0
3992700335,2014-07-07,382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1981,0,47.7135,-122287.0,nivel_1,apart_or_house,regular,old_house, Northeast 117th Street,3825,Lake City,"3825, Northeast 117th Street, Lake City, Seattle, King County, Washington, 98125, United States",0.0,428400.00000000006,45900.00000000006,492660.0
1432900240,2015-05-08,205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1962,0,47.4563,-122171.0,nivel_0,apart_or_house,regular,old_house, Southeast 164th Street,12759,Renton,"12759, Southeast 164th Street, Renton, King County, Washington, 98058, United States",0.0,229600.00000000003,24600.00000000003,264040.0
6140100875,2015-04-15,420000.0,3,1.0,1060,8097,1.0,0,0,4,7,940,120,1923,0,47.7144,-122351.0,nivel_1,apart_or_house,regular,old_house, Evanston Avenue North,11700,Broadview,"11700, Evanston Avenue North, Broadview, Seattle, King County, Washington, 98133, United States",0.0,470400.00000000006,50400.00000000006,540960.0
3224079105,2014-08-06,430000.0,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,2007,0,47.5262,-121943.0,nivel_1,apart_or_house,regular,old_house, 299th Place Southeast,8485,Preston,"8485, 299th Place Southeast, Preston, King County, Washington, 98027, United States",0.0,481600.00000000006,51600.00000000006,553840.0
8075400570,2014-10-30,258000.0,5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,1960,0,47.3887,-122286.0,nivel_0,house,regular,old_house, South 239th Street,3704,Midway,"3704, South 239th Street, Midway, Kent, King County, Washington, 98032, United States",0.0,288960.0,30960.0,332304.0
